step,avg_delay,avg_queue,max_queue,throughput,cumulative_reward
1386,38.21264367816092,1.3333333333333333,2,0,-32539.05683943264
1387,38.327586206896555,1.3333333333333333,2,0,-32620.045345179766
1388,38.44252873563219,1.3333333333333333,2,0,-32701.263735984365
1389,38.5632183908046,1.3333333333333333,2,0,-32782.723506099304
1390,38.724137931034484,1.3333333333333333,2,0,-32864.505115294705
1391,38.89655172413793,1.3333333333333333,2,0,-32946.63155207632
1392,39.07471264367816,1.3333333333333333,2,0,-33029.114310697005
1393,39.264367816091955,1.3333333333333333,2,0,-33111.97637966252
1394,39.18023255813954,1.3333333333333333,2,1,-33191.67017811213
1395,38.46590909090909,1.3333333333333333,2,0,-33272.93532962728
1396,37.90340909090909,1.3333333333333333,2,1,-33350.075481142434
1397,37.34659090909091,1.25,2,1,-33426.01866296062
1398,37.206896551724135,1.1666666666666667,2,1,-33501.59912273073
1399,37.3448275862069,1.0833333333333333,2,0,-33580.37211123648
1400,37.48275862068966,0.8333333333333334,2,0,-33659.17096181119
1401,37.61494252873563,0.75,2,0,-33738.150846868666
1402,37.735632183908045,0.6666666666666666,2,0,-33817.28877790315
1403,37.85632183908046,0.6666666666666666,2,0,-33896.66808824798
1404,37.97126436781609,0.9166666666666666,2,0,-33976.52728365028
1405,38.06896551724138,1.0,2,0,-34056.66521468476
1406,38.189655172413794,1.0833333333333333,2,0,-34137.127858362925
1407,38.304597701149426,1.25,2,0,-34217.987053765224
1408,38.41954022988506,1.1666666666666667,2,0,-34298.99280089166
1409,38.97093023255814,1.1666666666666667,2,1,-34378.10132802345
1410,39.122093023255815,1.1666666666666667,2,0,-34460.51218073662
1411,39.27325581395349,1.25,2,0,-34543.30869236453
1412,39.44767441860465,1.25,2,0,-34626.45404120174
1413,39.651162790697676,1.25,2,0,-34710.006366783135
1414,39.86046511627907,1.3333333333333333,2,0,-34794.06063034903
1415,40.0406976744186,1.3333333333333333,2,0,-34878.475359031196
1416,39.976470588235294,1.3333333333333333,2,1,-34959.761633541
1417,38.97093023255814,1.3333333333333333,2,1,-35039.03682733945
1418,38.1764705882353,1.0,2,2,-35113.38976851592
1419,37.895348837209305,0.8333333333333334,2,0,-35193.01379952367
1420,38.03488372093023,0.75,2,0,-35272.833566965535
1421,38.61764705882353,0.6666666666666666,2,1,-35350.73552774985
1422,38.747058823529414,0.6666666666666666,2,0,-35431.896312063574
1423,38.858823529411765,0.6666666666666666,2,0,-35513.28062578906
1424,38.976470588235294,1.0,2,0,-35595.23356696553
1425,39.51190476190476,1.0,2,1,-35675.25737648934
1426,39.601190476190474,1.25,2,0,-35758.70975744172
1427,39.67857142857143,1.3333333333333333,2,0,-35842.400233632194
1428,39.779761904761905,1.3333333333333333,2,0,-35926.29309077505
1429,39.88095238095238,1.3333333333333333,2,0,-36010.388328870285
1430,39.99404761904762,1.3333333333333333,2,0,-36094.70975744171
1431,40.13095238095238,1.3333333333333333,2,0,-36179.30499553695
1432,40.279761904761905,1.3333333333333333,2,0,-36264.197852679805
1433,40.458333333333336,1.3333333333333333,2,0,-36349.447852679805
1434,40.642857142857146,1.3333333333333333,2,0,-36435.06690029885
1435,40.55421686746988,1.3333333333333333,2,1,-36517.508667367125
1436,40.279761904761905,1.3333333333333333,2,0,-36602.40152450998
1437,39.51744186046512,1.3333333333333333,2,0,-36685.76974156425
